roll 0.00286306, pitch -0.00604347, yaw -0.0102308
ax 0.0435643, ay -5.75553e-05, az 9.80982
gx -8.56193e-05, gy 5.86274e-05, gz -4.63173e-06
qx -0.00158627, qy -0.00155504, qz -0.714751
roll -0.00834406, pitch 0.000159096, yaw -0.0101982
ax 0.0435532, ay -7.34036e-05, az 9.80983
gx -6.85172e-05, gy 4.67852e-05, gz -3.77306e-06
qx -0.00158651, qy -0.00155373, qz -0.714751
roll -0.00274434, pitch -0.00293981, yaw -0.0102061
ax 0.0435375, ay -9.61477e-05, az 9.80986
gx -4.38955e-05, gy 2.97933e-05, gz -2.4625e-06
qx -0.00158685, qy -0.00155185, qz -0.714751
roll 0.00845194, pitch -0.00913527, yaw -0.0102738
ax 0.0435319, ay -0.000104217, az 9.80987
gx -3.51411e-05, gy 2.3775e-05, gz -1.96907e-06
qx -0.00158697, qy -0.00155118, qz -0.714751
roll 0.00284955, pitch -0.00603519, yaw -0.0102314
ax 0.0435239, ay -0.000115832, az 9.80988
gx -2.25309e-05, gy 1.51397e-05, gz -1.2244e-06
qx -0.00158715, qy -0.00155022, qz -0.714751
roll -0.0083531, pitch 0.000164557, yaw -0.0101986
ax 0.0435189, ay -0.000123282, az 9.80989
gx -1.44521e-05, gy 9.64063e-06, gz -7.21424e-07
qx -0.00158727, qy -0.00154961, qz -0.714751
roll 0.00285014, pitch -0.00603534, yaw -0.0102316
ax 0.0435157, ay -0.000128073, az 9.80989
gx -9.27145e-06, gy 6.1388e-06, gz -3.87488e-07
qx -0.00158734, qy -0.00154921, qz -0.714751
roll -0.00835178, pitch 0.000163814, yaw -0.0101987
ax 0.0435146, ay -0.000129785, az 9.8099
gx -7.42498e-06, gy 4.89856e-06, gz -2.67242e-07
qx -0.00158737, qy -0.00154907, qz -0.714751
roll -0.00275002, pitch -0.00293625, yaw -0.0102065
ax 0.043513, ay -0.000132264, az 9.8099
gx -4.75726e-06, gy 3.11912e-06, gz -9.58177e-08
qx -0.00158741, qy -0.00154887, qz -0.714751
